organization,location,description,website
L'Opéra de Montréal,Canada,"Opéra de Montréal, the largest francophone opera company in North America. The Opéra is a key player in Montreal’s economic, cultural, and social development since, season after season, it maintains working relationships with over 360 local businesses and hires over 800 artists and artisans.",http://www.operademontreal.com/en
Maccabi Canada,Canada,At Maccabi Canada we work to develop and promote a Jewish identity in our youth so they can become the future leaders of our community.   We achieve our goal through the passion of sports. ,http://www.maccabicanada.com/
Maison Shalom House Inc.,Canada,"Treiser Maison Shalom is a professionally run group home where people with intellectual, emotional and physical disabilities are cared for in a safe, stimulating and family style atmosphere. The homes (2 duplexes), have permanent residents and also care for a large number of respite children and young adults, providing short and long term relief for families of individuals with special needs.",http://treisermaisonshalom.com/
Massachusetts Institute of Technology,United States,"The mission of MIT is to advance knowledge and educate students in science, technology and other areas of scholarship that will best serve the nation and the world in the 21st century — whether the focus is cancer, energy, economics or literature.  ",http://web.mit.edu/
Masorti School,Israel,"The goal of the Masorti (Tali) Schools Project is to help overcome the gaps between religious and non-religious Jews and between people of different ethnic backgrounds.  The grant was intended to support the work of the institution in training Israeli educators in informal education, writing curriculum for the growing Tali School system, and enriching the MA Program, which was developed by the Beit Madras for Israeli educators to broaden their educational vistas.",
McGill Institute for the Study of Canada,Canada,"The McGill Institute for the Study of Canada was established in 1994. Its mission is to promote a better understanding of Canada through the study of our heritage; develop a clearer understanding of Canada’s social, political and economic future; identify and explore the benefits that a pluralistic society offers; and, support the study of Canada across the country and internationally. In order to achieve these goals, the Institute encourages a multidisciplinary approach to the study of Canada; promotes public as well as university-based education about Canada; fosters the development of networks in the areas of Canadian Studies; and, enhances informed discussion of public policy. There are three core elements to MISC’s program: research; teaching at the graduate and undergraduate levels; and outreach to interested publics beyond the University community, including a program of public lectures and an annual conference on issues of public policy that are of current interest.",http://www.mcgill.ca/misc/
McGill University,Canada,"McGill University is one of Canada's best-known institutions of higher learning and one of the leading universities in the world. With students coming to McGill from some 150 countries, our student body is the most internationally diverse of any research-intensive university in the country.",http://www.mcgill.ca/
McMaster University,Canada,"At McMaster our purpose is the discovery, communication and preservation of knowledge. In our teaching, research, and scholarship, we are committed to creativity, innovation and excellence. ",http://www.mcmaster.ca/
Melitz-Centers for Jewish Zionist Education,Israel,"Melitz creates and provides high quality educational programs in Israel, the US, and worldwide that strengthen commitment to the Jewish people, to a democratic Israel, and to the Israel-Diaspora relationship. Our outstanding educators span the Jewish spectrum and take participants on a journey that provides them with tools to engage with Judaism and the Jewish world.",
Memorial Sloan Kettering Cancer Center,United States,"As one of the world's premier cancer centers, Memorial Sloan Kettering Cancer Center is committed to exceptional patient care, leading-edge research, and superb educational programs.",https://www.mskcc.org/
Memorial University of Newfoundland,Canada,"Memorial University is an inclusive community dedicated to creativity, innovation and excellence in teaching and learning, research and scholarship, and to public engagement and service.",http://www.mun.ca/
Merchavim - The Institute for the Advancement of Shared Citizenship,Israel,"Merchavim works to assist young citizens, from different backgrounds, to learn about the ‘other’, value the differences, develop a shared civic consciousness and make their classrooms, schools, and communities fairer. The Institute’s unique programming, developed in collaboration with the Ministry of Education, are based on five basic concepts: identity, accessibility, fairness, spaces of agreement, active shared citizenship and are adapted to each age groups, from kindergarten and up to high school.",http://www.machon-merchavim.org.il/?lang=en
Meuravut,Israel,"Established by Russian community activists, Meuravut created a project with The Association for the Advancement of Democracy in the Arab Sector. The project, Breaking down Barriers, educated a core group of journalists about the issues facing the Palestinian citizens of Israel and provided them with the knowledge and background to begin writing more analytical, in-depth stories on the minority experience in Israel.",
Meytarim - Network for Jewish Democratic Education,Israel,"Meytarim is the network for Jewish democratic education. It strives to reduce the religious/secular division in schools and creates a framework in which children from different ideological backgrounds can learn together. Schools affiliated with Meytarim foster a pluralistic and democratic environment in which Judaism is studied and practiced with commitment and yet openness. Academic excellence and achievement are fundamental goals of the Meytarim network. Meytarim schools have been accredited by the Ministry of Education and enable students the opportunity to study sacred texts, democratic values, and live in a pluralistic society which legitimates a variety of forms of Jewish expression. ",http://www.meytarim.org.il/
Miriam Foundation,Canada,The Miriam Foundation is dedicated to ensuring that greater insight and new research will improve the quality of life for all those affected with autism spectrum disorders (ASDs) and developmental disabilities.,http://www.miriamfoundation.ca/en/home.html
Montreal Association for the Blind Foundation,Canada,The mission of the MAB-Mackay Rehabilitation Centre is to maximize our clients’ autonomy and community participation in order to improve their quality of life.,http://www.mabmackay.ca/
Montreal Holocaust Memorial Center,Canada,"The Montreal Holocaust Memorial Centre educates people of all ages and backgrounds about the Holocaust, while sensitizing the public to the universal perils of antisemitism, racism, hate and indifference.",http://www.mhmc.ca/en
Montreal Museum of Fine of Arts,Canada,"The Montreal Museum of Fine Arts Foundation raises funds through campaigns, events, and various projects to support the Museum’s primary mission: the enhancement, conservation, and presentation of its encyclopedic collection, the presentation of major exhibitions, and the creation of various educational, art therapy, social/community programs.",http://www.mbam.qc.ca/en/
Montreal Neurological Institute and Hospital ,Canada,"The Montreal Neurological Institute and Hospital is the largest training center for brain research in Canada. For a quarter of a century, the Friends of the Neuro, a non-profit group of dedicated volunteers, has raised money for the hospital and helped patients and their families. The Friends purchase hospital equipment, fund bursaries for nurses, support the Patients' Committee, and do much more.",http://www.mcgill.ca/neuro/
MorseLife Foundation,United States,"MorseLife is a nationally recognized provider of health care, housing and support services for seniors and their families in Palm Beach County.",http://www.morselife.org/
Mount Allison University,Canada,"Mount Allison University’s beautiful and historically rich campus is nestled on the Tantramar marshes in the heart of Sackville, New Brunswick, Canada. We recruit, teach, and train young talent; we produce knowledge; we create opportunities and benefit the community; we are the site for major public discussions. ",http://www.mta.ca/Prospective/Default.aspx
Mount Saint Vincent University,Canada,"The Mount is located just minutes from downtown Halifax, Nova Scotia and is recognized for its small class sizes and personalized approach to learning. A diverse mix of 4,000 women and men from across Canada and more than 50 countries take advantage of the Mount’s programs and unique sense of community through on-campus classes and distance learning opportunities. ",http://www.msvu.ca/en/home/default.aspx
Mount Sinai Health System,United States,"The mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.",http://www.mountsinai.org/
Mount Sinai Hospital Foundation ,Canada,"Since the hospital’s inception in 1909 by members of the Jewish community, Mount Sinai has always stood for excellence. Mount Sinai Hospital Montreal is a public institution, treating patients referred by doctors throughout the province. It's mission is to treat people with chronic obstructive pulmonary diseases with a global approach including education, prevention, diagnostic, treatment and follow-up; to offer palliative care services to people at the end of their life to alleviate their suffering; to offer a homelike environment to people with serious chronic conditions.",http://sinaimontreal.ca/
MUSE Film and Television,United States,MUSE Film and Television is a non-profit executive production company that uses film and digital media to create quality films on visual art and culture.,http://www.musefilm.org/
Museum of Arts and Design,United States,"The Museum of Arts and Design (“MAD”) explores the blur zone between art, design, and craft today.",http://madmuseum.org/
Musica Eterna,Israel,"The association “Keshet Amanuyot”, which means “Rainbow of Arts” from Hebrew, was founded in the year of 1996. The main goal of the collective was foundation and organization of the new Israeli choir “Musica Aeterna”. With the years, the field of activities of the organization has broadened; nowadays it includes three grand projects. The association pays special attention to the cultural life in Jerusalem.",http://musica-aeterna.com/en/main/
Musicians on Call,United States,Musicians On Call brings live and recorded music to the bedsides of patients in healthcare facilities. ,http://www.musiciansoncall.org/site/PageNavigator/home
Musrara School of Photography,Israel,"The Naggar school of Photography, Media, New Music, Animation and Phototherapy in Musrara, Jerusalem, was set from the beginning to function as an institute with a different nature - open to it's environment, inspecting new approaches and dealing with hot issues concerning society in Israel.",http://musrara.org/
Na'amat Canada ,Canada,"Na’amat Canada, in partnership with Na'amat Israel, is part of a worldwide women’s movement whose ideological roots lie with the founding women of the State of Israel and their vision for social justice and equality. ",http://www.naamat.com/
National Baseball Hall of Fame ,United States,"The Hall of Fame's mission is to preserve the sport's history, honor excellence within the game and make a connection between the generations of people who enjoy baseball. ",http://www.baseballhall.org/
National Council of Jewish Women of Canada,Canada,"The National Council of Jewish Women of Canada is a voluntary organization which, in the spirit of Judaism, is dedicated to furthering human welfare in the Jewish and general communities Locally, Nationally and Internationally. Through an integrated program of education, service and social action, the organization helps to fulfil unmet needs and to serve the individual and the community.",http://www.ncjwc.org/
National Entertainment Fund for the Cultural Arts,United States,"The National Entertainment Fund for the Cultural Arts’ mission is to foster and maintain an appreciation for culture through the arts, and to innovatively promote the strengthening of cultural identity.",http://www.nefca.org/
National Gallery of Canada Foundation,Canada,"The National Gallery of Canada is one of the world's most respected art institutions, renowned for its exceptional collections, revered for its scholarship, and applauded for its unique ability to engage audiences of all ages and all levels of artistic knowledge. Created in 1880, the National Gallery of Canada is among the oldest of Canada's national cultural institutions.  The National Gallery of Canada strives to provide Canadians with a sense of identity with and pride in Canada's rich visual-arts heritage. Through its collections, onsite and traveling exhibitions, loans program, educational programs and publications, professional training programs, and outreach initiatives, the Gallery aspires to be a model of excellence in furthering knowledge of the visual arts, both at home and abroad. Through collaboration with national and international institutions, the Gallery seeks to make art accessible, meaningful, and vital to diverse audiences of all ages.  The Foundation created The Andrea and Charles Bronfman Canadian Art Fund in 2002 to increase the National Gallery’s ability to purchase exceptional examples of Canadian artwork. The first acquisition is “In The Orchard” 1892 –oil on board- by William Brymner. The second acquisition is “Alcove” 1914 –oil on canvas- by David B. Milne. ",http://www.gallery.ca/en/
National Museum of American Jewish History,United States,"The National Museum of American Jewish History’s mission is to present educational programs and experiences that preserve, explore and celebrate the history of Jews in America. Our purpose is to connect Jews more closely to their heritage and to inspire in people of all backgrounds a greater appreciation for the diversity of the American Jewish experience and the freedoms to which Americans aspire.",http://www.nmajh.org/
Nefesh B’Nefesh,United States,"Nefesh B’Nefesh in cooperation with the Israeli government and The Jewish Agency for Israel, is dedicated to revitalizing Aliyah from the USA, Canada and the UK by removing or minimizing the financial, professional, logistical and social obstacles of Aliyah and the move to Israel.",http://www.nbn.org.il/
Neve Tzedek Theatre Group,Israel,Theater North was an eight month project to develop a local community theatre in Yavne  and a tour of the Galilee towns.,
New York Philharmonic,United States,"The New York Philharmonic is by far the oldest symphony orchestra in the United States, and one of the oldest in the world.  Since its first concert in 1842 the Philharmonic has played a leading role in American musical life.",http://nyphil.org/
North American Alliance for Jewish Youth,United States,"The mission of the North American Alliance for Jewish Youth is to promote excellence in the field of Informal Jewish Education, and to provide every Informal Jewish Educator with meaningful, content-rich opportunities to strengthen and enhance their professional skills.",http://naajewishyouth.org/
North American Forum,United States,"Founded in 2005, the North American Forum is a community of Canadian, Mexican and American thought leaders, whose purpose is to advance a shared vision of North America, and to contribute to improved relations among the three neighbors.",http://www.hoover.org/about-north-american-forum
North American Jewish Forum - UJA,United States,"In October, 1987, The CRB Foundation announced its decision to provide over 3 year (and then extended 2 more years) period to enable the creation of the North American Jewish Forum.  This support for the year 1988, 1989 and 1990 reflected the recognition of the need to establiah a North American counterpart to the Israeli Forum so that processes underway since the early 1980's of enhancing Diaspora-Israel relations through intensive dialogues and selected projects could mature and develop. Please note that the United Jewish Appeal merged with CJF and UIA to form the UJA Federation of North America in 1998.",
North-South Institute,Canada,The North-South Institute is Canada's oldest independent policy research institution specializing in effective international development. At NSI we focus on identifying policies and practices seeking to reduce poverty and global inequalities thereby contributing to the creation of a more prosperous and stable global community.,http://www.nsi-ins.ca/
Norton Museum of Art,United States,"Since its founding in 1941, the Norton Museum of Art has grown and evolved to become one of Florida's major cultural institutions. The Museum is internationally known for its distinguished permanent collection featuring American Art, Chinese Art, Contemporary Art, European Art and Photography.",http://www.norton.org/
NYU Medical Center Foundation,United States,"We are committed to making world-class contributions that place service to human health at the center of an academic culture devoted to excellence in research, patient care, and education.",http://www.med.nyu.edu/
Ofakim-Horizons,Israel,Education program for new immigrants from the former Soviet Union to Israel.,
Ohr Torah Stone,United States,"Ohr Torah Stone is a Modern Orthodox movement shaping Jewish communities worldwide, inspired by the unique vision of founder Rabbi Shlomo Riskin. Fueled by a unique combination of educational institutions, rabbinical training, women’s empowerment programs, leadership development, outreach initiatives, and social action projects, OTS is illuminating the relevance of authentic Torah Judaism in the modern world.",https://ots.org.il/
Ontario Crafts Council,Canada,"As a dynamic, member-based, not-for-profit arts service organization, the OCC exists to grow recognition and appreciation of craft and craftspeople by building a strong, talented, distinct craft community.",https://www.craftontario.com/
ORT Montreal,Canada,"ORT’s mission is to work for the advancement of people through training and education; to provide communities wherever they are, with the skills and knowledge necessary to cope with the complexities and uncertainties of their environment; to foster economic self-sufficiency, mobility and a sense of identity through use of state-of-the-art technology. ",http://ortmontreal.org/
ORT Toronto,Canada,"ORT Toronto is a regional chapter and the head office of ORT Canada. We believe that when people and organizations work diligently together, they create change in Canada and in developing countries around the world.",http://www.ort-toronto.org/
Partnership for Excellence in Jewish Education,United States,The Partnership for Excellence in Jewish Education (PEJE) believes that day schools are essential for fostering an engaged Jewish people for an enduring Jewish future. PEJE connects and empowers Jewish day schools and major stakeholders in the Jewish community across the denominational and geographic spectrum and offers unparalleled knowledge and resources to foster financial sustainability and affordability.,http://www.peje.org/
Peaceworks Network Foundation,United States,"To amplify the voice of mainstream Israelis and Palestinians, empowering them to propel their elected representatives toward a two-state solution. The movement works to forge consensus for conflict resolution and build a human infrastructure capable of mobilizing the people toward a negotiated, comprehensive and permanent agreement between Israel and Palestine that ends the occupation, ensures security and peace for both sides, and solves all final-status issues in accordance with international law and previous bilateral agreements.",http://onevoicemovement.org/
Pearson College UWC,Canada,"Pearson College UWC is a two-year pre-university school (Grade 12 and Gap Year) for up to 200 students from over 100 countries who live, study and grow together at the edge of the western world. We believe that education is a force to unite people, nations and cultures for peace and a sustainable future.",http://www.pearsoncollege.ca/
Philanthropic Foundations Canada,Canada,"PFC promotes the growth and development of effective and responsible foundations and organized philanthropy in Canada through provision of membership services, resources and advocacy.",http://pfc.ca/contact/
Pilchuck Glass School,United States,"Pilchuck Glass School is an international center for glass art education. Our serene campus in Stanwood, Washington, is nestled in the foothills of the Cascade mountains on a former tree farm.",http://www.pilchuck.com/
Project Interchange,United States,"Project Interchange, an educational institute of AJC, brings opinion leaders and policy makers to Israel for a week of intensive travel and learning. Participants experience Israeli society, connect with their Israeli counterparts and learn about Israel’s extensive contributions in their fields.",http://projectinterchange.org/
Prosserman JCC ,Canada,"The Prosserman JCC (formerly the Bathurst Jewish Centre) fosters and enriches Jewish identity and builds community through health and wellness, recreation, education and culture, social experiences, and a strong connection to Israel.",http://www.prossermanjcc.com/
Queen Elizabeth Hospital of Montreal Foundation,Canada,Queen Elizabeth Hospital of Montreal Foundation is a not-for-profit organization whose mission is to raise funds to meet the needs of the Queen Elizabeth Health Complex. The QEHC is able to acquire new state-of-the-art equipment and offer free medical services through the generous support of its foundation.,http://www.qehc.org/foundation_about
Queen Elizabeth Scholars,Canada,"The Canadian Queen Elizabeth II Diamond Jubilee Scholarships aim to activate a dynamic community of young global leaders across Canada and the Commonwealth to create lasting impacts both at home and abroad through cross-cultural exchanges encompassing international education, discovery and inquiry, and professional experiences. This collaborative initiative is activated through Rideau Hall Foundation, Community Foundations of Canada, and Universities Canada.",http://www.queenelizabethscholars.ca/
Reboot,United States,"Reboot is a catalyst to catalysts. Every generation must grapple with the questions of Jewish identity, community and meaning on its own terms. Reboot exists to facilitate that process for this and future generations – providing the tools and methodologies to help ‘reboot’ inherited tradition and make it vital, resonant and meaningful in modern life.  Reboot is committed to creating opportunities for peers to gather, to engage, to question and to self-organize with their own networks, in their own way, in their own time. Founded in 2002, Reboot engages and inspires young, Jewishly-unconnected cultural creatives, innovators and thought-leaders who, through their candid and introspective conversations and creativity, generate projects that impact both the Jewish and non-Jewish worlds.",http://www.rebooters.net/
Rockefeller Philanthropy Advisors,United States,"Rockefeller Philanthropy Advisors (RPA) is a nonprofit organization that currently advises on and manages more than $200 million in annual giving by individuals, families, corporations, and major foundations. Rockefeller Philanthropy Advisors launched the “Theory of the Foundation” initiative, inspired by Peter Drucker’s famed article, The Theory of the Business. The framework allows funders to look at their giving, the environments in which they operate, and their core competencies with fresh eyes and renewed commitment.",https://www.rockpa.org/
Royal Ontario Museum Foundation,Canada,"The Royal Ontario Museum is among the world’s leading museums of natural history, and of world cultures. It is the ROM’s mission to engage the public in exploration of cultural change and to serve as an advocate for science in the study of nature.",www.rom.on.ca
Royal Ottawa Foundation for Mental Health ,Canada,"The Royal Ottawa Foundation for Mental Health (""Royal Ottawa Health Care Foundation"") raises funds to support the best possible patient care and leading edge research provided by the Royal Ottawa Mental Health Centre, the Brockville Mental Health Centre, and the uOttawa Institute of Mental Health Research. The Foundation’s funds are used to purchase hospital equipment for capital projects, to support research, and to contribute to the improvement of patient care, now and for the future.",http://www.theroyal.ca/foundation/
Royal Winnipeg Ballet,Canada,"The Royal Winnipeg Ballet enriches the human experience by teaching, creating and performing outstanding dance.",http://www.rwb.org/
Sally and Philip Lown Community Center,Israel,"The Sally & Philip W. Lown Youth & Community Center was one of the first community centers built in the city. The center provides an array of educational, recreational, social and cultural programs for children, youth, adults and seniors in the Kiryat Hayovel neighborhood, one of the largest neighborhoods in the city, with approximately 30,000 residents.",
Schepens Eye Research Institute,United States,"Schepens Eye Research Institute, Massachusetts Eye and Ear fights blindness by developing new technologies, therapies and knowledge to retain and restore vision. Through a continuum of discovery, the Institute works toward a future in which blindness is prevented, alleviated, and, ultimately, cured.",http://www.schepens.harvard.edu/
Seeds of Peace,United States,"Seeds of Peace inspires and equips new generations of leaders from regions of conflict with the relationships, understanding, and skills needed to advance lasting peace.",http://www.seedsofpeace.org/
Segal Centre for Performing Arts at the Saidye,Canada,"The Segal Centre is a meeting place for all of the performing arts, showcasing the best professional artists from here and abroad and playing a leading role in the artistic development of Montreal’s youth and the creation of its cultural legacy.",http://www.segalcentre.org/
Shalom Hartman Institute,Israel,"The Shalom Hartman Institute in Jerusalem is one of the world's leading centers of advanced Judaic research and educational leadership training.  Its major goal is the integration old traditional Judaism in modernity, while respecting the diversity in ideology that permeates Jewish life today.",http://hartman.org.il/
Shatil ,Israel,"Shatil, The New Israel Fund’s Initiative for Social Change, was established in 1982 to strengthen civil-society entities and promote democracy, tolerance, and social justice in Israel. Each year, Shatil provides more than 10,000 hours of capacity building and consultation services to over 400 organizations, movements, and coalitions.",http://english.shatil.org.il/
Sheba – Academic Medical Center Hospital,Israel,"Serving as a university teaching hospital (affiliated with the Sackler School of Medicine at Tel Aviv University) and as a tertiary referral center, the Sheba Medical Center, also known as Tel HaShomer Hospital, uniquely combines Israel's largest Acute Care Hospital with its national Rehabilitation Hospital. Sheba merges Israel's best advances in high-tech science and medicine with traditional healing services, including the finest nursing faculty and outstanding care for the elderly.",https://eng.sheba.co.il/
Shriners Hospitals For Children,Canada,"Shriners Hospitals for Children has a mission to provide the highest quality care to children with neuromusculoskeletal conditions, burn injuries and other special healthcare needs within a compassionate, family-centered and collaborative care environment; provide for the education of physicians and other healthcare professionals; conduct research to discover new knowledge that improves the quality of care and quality of life of children and families.",http://www.shrinershospitalsforchildren.org/
SickKids Foundation,Canada,"Established in 1972, SickKids Foundation raises funds on behalf of The Hospital for Sick Children. We inspire our communities to invest in health and scientific advances to improve the lives of children and their families in Canada and around the world. We inspire our communities to invest in health and scientific advances to improve the lives of children and their families in Canada and around the world.",http://www.sickkidsfoundation.com/
Sikkuy - The Association for the Advancement of Civic Equality,Israel,"Sikkuy (a ""chance"" or ""opportunity"" in Hebrew) is a non-partisan NGO in Israel that develops and implements projects to advance equality between Arab and Jewish citizens of Israel in government budgets, resource allocation, hiring policy, land usage, access to government services, etc.",http://www.sikkuy.org.il/?lang=en
Sinai Health Foundation,Canada,"Sinai Health Foundation (formerly Mount Sinai Hospital Foundation of Toronto) raises and stewards funds to support Sinai Health System comprised of Mount Sinai Hospital, Bridgepoint Active Healthcare, Lunenfeld-Tanenbaum Research Institute and Circle of Care. These organizations have come together to combine acute care, rehabilitation and complex care, home care, and other community-based services all fuelled by world-class research.",http://supportsinai.ca
Slingshot,United States,"The idea for Slingshot developed organically following a weekend retreat for a dozen young Jews in 2004 who were preparing to become involved in their family foundations. They imagined a Zagat-style guidebook and worked to produce Slingshot: A Resource Guide to Jewish Innovation to highlight the 50 most innovative nonprofits in North American Jewish life for themselves and their peers. The next-generation funders responsible for Slingshot took their concept a step further, and created the Slingshot Fund, a peer giving network, to support Jewish organizations that resonated with their generation. The Slingshot Fund exposes its next generation funders to a professional grant-making process. ",http://www.slingshotfund.org/
Society for the Protection of Nature in Israel,Israel,"The Society for the Protection of Nature in Israel (SPNI) is Israel's leading environmental non-profit organization. SPNI works both within the government system and outside it to protect Israel’s remaining open spaces. In 1996, ACBP supported the reintroduction of Persian Fallow Deer into the Upper Galilee. SPNI has been working since then to monitor the success of the herd. Due to the project's unprecedented success the decision was made to reintroduce Persian Fallow Deer into the Carmel Mountains. In 2000, ACBP became involved in planning the preservation of Eilat Bay by looking at all aspects, including: legal, scientific, and public awareness. Persian Fallow Deer became extinct in Israel at the beginning of the 20th Century. ",http://www.teva.org.il/english/
Spertus Institute of Jewish Studies,United States,"Spertus is a center for Jewish learning and culture that invites people of all backgrounds to explore the multifaceted Jewish experience. Spertus inspires learning, serves diverse communities, and fosters understanding for Jews and people of all faiths. ",http://spertus.edu/
St. George's School of Montreal,Canada,"St. George's School of Montreal provides a hands-on, well-balanced and rigorous educational experience.  Mindful of the different strengths and needs of all of our learners, we prepare each student for what lies ahead. ",http://www.stgeorges.qc.ca/
St. Justine Hospital Foundation,Canada,"Created in 1987 when the Fondation Justine-Lacoste-Beaubien and Fondation Sainte-Justine joined forces, the CHU Sainte-Justine Foundation is dedicated to providing children and mothers-to-be with a standard of care that is among the very best in the world. This is the goal underlying all of our fundraising efforts.",http://www.fondation-sainte-justine.org/en/
St. Mary's Hospital Foundation,Canada,St. Mary’s Hospital Foundation has remained faithful to its primary objective – to empower St. Mary’s Hospital Center to provide the community – our community – with the highest level of patient and family-centered care.,http://www.stmaryshospitalfoundation.ca/en/home
Stanford University,United States,"Located between San Francisco and San Jose in the heart of Silicon Valley, Stanford University is recognized as one of the world's leading research and teaching institutions.",http://www.stanford.edu/
Stanstead College,Canada,"Our mission is to provide students from Canada and around the world with a highly structured and supportive educational program in a small, secure environment. The Stanstead experience helps all students reach their full academic potential in preparation for university, develop healthy and active lifestyles, and understand the importance of respect, responsibility and self-discipline.",http://www.stansteadcollege.com
Strang Cancer Prevention Center,United States,"Strang, synonymous with cancer prevention, is the longest continuously operating cancer prevention institution in the world. Strang's mission is to promote cure by early detection and provide research to prevent cancer, including dissemination of information to the public, education for medical professionals, and support for cancer prevention research.",http://www.strang.org/
Summit School,Canada,"Founded in 1963, the school services over 550 special needs students by creating an individualized and enriching environment.  Summit School is a private school recognized and subsidized in the public interest by the Ministère de L'Education du Loisir et du Sport. ",http://www.summit-school.com/
Sun Youth Organization ,Canada,"Sun Youth works with individuals and families in need from the Greater Montreal area by providing a range of emergency services to ensure basic needs and to preserve people’s integrity, by contributing actively to crime prevention and by promoting physical, social and intellectual development of people through education, sports and recreation.",http://sunyouthorg.com/en/
Sundays of Culture in the Army,Israel,"Sundays of Culture in the Army enables soldiers to participate in a variety of cultural events, thereby enriching their personal lives during military service. The transition hours, on Sunday morning, between rest periods at home and return to an army base could be used to expose soldiers from all backgrounds to cultural experiences. Viewing a film, seeing a play, watching a movie, hearing a concert, or going to a ballet, and the discussions which follow the performances provide an opportunity to learn, experience, and interpret the world around them.",
Technion - Israel Institute of Technology,Israel,"In operation since 1924, the Technion is the oldest university in Israel. Since its founding, the institute has educated three generations of men and women who have played a key role in laying the country’s infrastructure and establishing its crucial defense and high-tech industries. In the new millennium, Technion’s role at the forefront of the global network of science and technology has never been more vital.",http://www.technion.ac.il/en/
Tel Aviv Sourasky Medical Center,Israel,"The mission of Medical Tourism at the Tel Aviv Sourasky Medical Center is to provide excellence in medical care to patients and visitors of all ages from throughout the world—to deliver quality, compassionate care, and offer premier diagnostic services, so that individuals and families can eliminate the burden of disease, optimize their physical and emotional health, and live their lives to the fullest.",http://www.tasmc.org.il/sites/en/Pages/default.aspx
Tel Aviv University,Israel,"Founded in 1956, Tel Aviv University is the largest university in Israel and is a major teaching and research center. In 2001, Tel Aviv University named The Center for the Media of the Jewish People in honor of Andrea and Charles Bronfman. In 2002, The Jaffee Center at the Institute for National Security Studies at Tel Aviv University inaugurated the Andrea and Charles Bronfman Program in Information Strategy. This award dwelt upon the question of how media impacts upon national decision making. ",http://english.tau.ac.il/
Temple Emanu-El of Palm Beach,United States,"At Temple Emanu-El of Palm Beach we strive to make our congregation a Kehillah Kedoshah – a Holy Community – one dedicated to Torah (Jewish Learning), Avodah (Prayer and Spiritual Growth), and Gimilut Hasadim (Personal Kindness, Community and Social Action).",http://www.tepb.org
The Abraham Joshua Heschel School,United States,"The Abraham Joshua Heschel School is an independent school named in memory of one of the great Jewish leaders, teachers, and activists of the 20th century. Unaffiliated with any single movement or synagogue, The Heschel School sees as essential the creating of a community with families from a wide range of Jewish backgrounds, practices, and beliefs.",http://www.heschel.org/
The American Jewish Committee (AJC),United States,"For more than a century, AJC has been the leading global Jewish advocacy organization. With offices across the United States and around the globe, and partnerships with Jewish communities worldwide, AJC works to enhance the well-being of the Jewish people and to advance human rights and democratic values for all. ",http://www.ajc.org/
The Andy Prize,Israel,"The Andrea M. Bronfman Prize for the Arts (“the Andy”) was initiated in June 2005 by Charles Bronfman to honor his wife Andy’s passion for and support of the crafts in Israel.  Launching the Prize a year before Andy’s untimely death at the age of sixty, Charles Bronfman continues his and Andy’s work in this field. The prize has become a showcase for Israeli decorative artists and is awarded annually in the fields of jewelry, ceramics, fashion, textile, or glass. The winner receives 50,000 NIS, an exhibition of works at the Tel Aviv Museum of Art and a catalogue of the exhibition.  In addition, one work of the artist is gifted to the Tel Aviv Museum and one to the Israel Museum in Jerusalem. Cooperation with the Tel Aviv Museum of Art has enabled the Andy Prize to gain wide recognition among artists and supporters of the crafts in Israel, and to be a catalyst for advancing the field.  As Charles Bronfman has stated: “The Andy is about excellence. By recognizing excellence, not only will Israeli decorative artists understand that their craftsmanship is on a par with the best in the world, but the international community will recognize it as well.”",http://www.theandy.org.il/en/
The Association for Canadian Studies in the United States ,United States,"The Association for Canadian Studies in the United States (ACSUS) is a multi-disciplinary membership based organization committed to raising awareness and understanding of Canada and the bilateral relationship. ACSUS supports research and academic activity through its publications, conferences, and grant programs; promotes the academy through active advocacy and outreach; and positions the community by profiling the scope and diversity of research undertaken by the ACSUS membership in the humanities and social sciences.",http://www.acsus.org
The Belmonte Science Laboratories for Youth,Israel,"The Belmonte Science Laboratories Center was created to raise the level of scientific study in the city's high schools. The $3.5 million center is located on the Hebrew University's Givat Ram campus, and is staffed by university professors and technicians. he advanced teaching labs on the Edmond J. Safra Campus of the Hebrew University (HU), working in close cooperation with the Israel Ministry of Education, are a cooperative venture involving the Hebrew University, the Jerusalem Municipality Education Department (""Manchi""), and the Jerusalem Foundation.",
The Bronfman Youth Fellowships in Israel,United States,"BYFI’s goal is that Bronfman Fellows become active participants, leaders, and agents for change in the Jewish and wider world.",http://www.bronfman.org/
The Brookings Institution,United States,"The Brookings Institution is a private nonprofit organization devoted to research, education, and publication on important issues of domestic and foreign policy. Its principal purpose is to bring the highest quality independent research and analysis to bear on current and emerging policy problems. The Foundation created the Charles and Andrea Bronfman Distinguished Visiting Fellow at the Saban Center at The Brookings Institution. ",http://www.brookings.edu/
The Centre for Israel and Jewish Affairs,Canada,"The Centre for Israel and Jewish Affairs is a non-partisan organization creating and implementing strategies to improve the quality of Jewish life in Canada and abroad, increase support for Israel, and strengthen the Canada-Israel relationship.",http://www.cija.ca/
The Center for Middle East Competitive Strategy,United States,"The Center for Middle East Competitive Strategy (C-MECS), a US non-profit organization, strives to advance stability, prosperity and peace in the Middle East.",
